size,price
57.0,52000.0
52.0,56000.0
42.0,37000.0
65.0,49500.0
70.0,55000.0
28.0,25500.0
30.0,21200.0
32.0,20000.0
51.0,26200.0
30.0,22200.0
30.0,24200.0
67.0,30200.0
30.0,21200.0
30.0,21200.0
30.0,21200.0
35.0,22500.0
43.0,22500.0
51.0,21200.0
65.0,32500.0
51.0,22200.0
51.0,24200.0
90.0,45000.0
80.0,56000.0
70.0,47000.0
69.0,49900.0
80.0,76000.0
96.0,65000.0
76.0,47500.0
45.0,30000.0
27.0,32000.0
65.0,44000.0
64.0,56500.0
42.0,35000.0
26.0,23500.0
76.0,60500.0
80.0,68000.0
72.0,41500.0
100.0,55000.0
65.0,44000.0
80.0,52500.0
72.0,43000.0
65.0,80000.0
63.0,42000.0
48.0,23000.0
70.0,47000.0
102.0,88784.0
78.0,65000.0
100.0,97000.0
34.0,28500.0
42.0,34500.0
80.0,51000.0
90.0,51000.0
45.0,48000.0
70.0,40000.0
96.0,67000.0
80.0,68000.0
63.0,40500.0
56.0,54000.0
52.0,36000.0
98.0,68000.0
96.0,63000.0
93.0,63500.0
60.0,49500.0
82.0,70000.0
120.0,52000.0
110.0,91000.0
95.0,83000.0
56.0,40500.0
68.0,48000.0
57.0,42000.0
46.0,19765.0
45.0,34500.0
40.0,40000.0
95.0,50000.0
53.0,68000.0
72.0,41500.0
65.0,41500.0
82.0,86000.0
42.0,25500.0
54.0,31500.0
42.0,26500.0
20.0,14500.0
45.0,45000.0
46.0,30000.0
50.0,34500.0
36.0,27000.0
80.0,59500.0
72.0,48000.0
78.0,47299.0
46.0,37000.0
60.0,38000.0
58.0,29500.0
70.0,56000.0
68.0,45000.0
100.0,61500.0
68.0,46500.0
70.0,51000.0
90.0,58400.0
60.0,47000.0
80.0,52500.0
74.0,50000.0
48.0,41500.0
94.0,45000.0
65.0,47500.0
85.0,52500.0
42.0,26000.0
110.0,105000.0
70.0,42000.0
68.0,53500.0
48.0,23000.0
20.0,12500.0
110.0,107000.0
46.0,35000.0
125.0,70000.0
72.0,55000.0
64.67,39414.0
70.0,60000.0
50.0,37000.0
51.0,49000.0
22.0,18000.0
54.0,42500.0
30.0,34500.0
42.0,37000.0
70.0,70000.0
68.0,45800.0
30.0,24000.0
52.0,58000.0
72.0,55500.0
76.0,68000.0
48.0,31000.0
66.0,47000.0
60.0,47000.0
37.0,41000.0
40.0,24000.0
61.0,55000.0
32.0,28500.0
65.0,42000.0
66.0,67000.0
70.0,46500.0
66.0,50500.0
65.0,40000.0
37.0,13071.0
69.65,45188.0
88.0,53000.0
38.0,25600.0
61.0,52000.0
45.0,44000.0
69.0,40000.0
55.13,35226.0
67.0,54000.0
38.0,22500.0
67.0,36500.0
54.0,40000.0
58.0,35000.0
100.0,142000.0
90.0,52000.0
91.0,85000.0
111.0,110000.0
54.0,36000.0
69.0,52000.0
107.0,50000.0
80.0,55000.0
63.0,42000.0
74.0,69000.0
58.0,28900.0
62.0,34000.0
107.0,85000.0
40.41,25000.0
54.0,39000.0
40.0,60000.0
50.0,36500.0
75.0,42000.0
84.0,85000.0
117.0,125000.0
70.0,37000.0
47.0,42000.0
56.0,36000.0
42.0,28000.0
60.0,34000.0
32.0,28500.0
42.0,28500.0
60.0,34500.0
54.0,34500.0
42.0,25500.0
60.0,43500.0
72.0,63000.0
80.0,39999.0
33.0,24500.0
61.0,41000.0
187.0,210000.0
63.0,36000.0
60.0,34000.0
29.0,23000.0
63.0,36000.0
48.0,28500.0
11.0,7500.0
45.0,47000.0
122.0,95000.0
42.0,44000.0
50.0,45000.0
100.0,48000.0
60.0,32000.0
50.0,47000.0
78.0,70500.0
164.0,170000.0
60.0,30500.0
42.0,26000.0
70.0,37500.0
35.0,26500.0
47.0,32000.0
36.0,26500.0
50.0,34500.0
52.0,36500.0
46.0,24500.0
92.0,42500.0
70.0,46000.0
70.0,38500.0
60.0,36000.0
55.0,35000.0
63.0,55500.0
89.0,81772.0
55.0,50533.0
100.0,119000.0
208.0,93000.0
35.0,23800.0
44.0,32900.0
61.0,36000.0
100.0,65000.0
35.0,29800.0
86.0,63000.0
100.0,80000.0
110.0,63500.0
75.0,110000.0
70.0,62000.0
70.0,36999.0
150.0,170000.0
56.1,37000.0
83.0,54000.0
49.0,23000.0
46.0,38500.0
46.0,36200.0
68.0,45000.0
65.0,45000.0
76.0,43000.0
42.0,26000.0
55.0,67000.0
76.0,45500.0
49.0,47000.0
80.0,70000.0
142.0,120000.0
60.0,44000.0
72.0,47000.0
115.0,84000.0
100.0,77000.0
63.0,35000.0
66.0,56000.0
70.0,46500.0
62.0,35000.0
50.0,34000.0
78.0,56000.0
62.0,63000.0
63.0,40000.0
91.0,75000.0
81.0,54900.0
86.0,42000.0
54.0,54500.0
90.0,105000.0
40.0,37000.0
45.0,24000.0
89.55,40000.0
92.0,67000.0
100.0,1000.0
95.0,77000.0
102.0,65000.0
65.0,31300.0
62.0,33500.0
56.0,38500.0
59.0,41500.0
96.0,64500.0
37.0,13075.0
70.0,48000.0
78.0,77000.0
145.0,115000.0
100.0,128000.0
54.0,33000.0
70.0,66000.0
116.0,80000.0
72.0,37700.0
70.0,60000.0
60.0,28500.0
52.0,38000.0
95.0,65000.0
44.0,38000.0
42.0,36500.0
43.0,36500.0
77.0,95000.0
24.0,20000.0
30.0,26000.0
41.0,36000.0
46.0,36000.0
42.0,36500.0
51.0,45000.0
62.0,33500.0
50.0,25000.0
107.0,75500.0
38.0,27500.0
110.0,75000.0
55.62,31000.0
66.0,31507.0
53.0,54000.0
119.0,110000.0
56.0,35000.0
68.0,24000.0
125.0,129999.0
140.0,105000.0
141.0,95000.0
74.0,47500.0
63.0,34997.0
41.0,32000.0
52.0,37000.0
68.0,39000.0
110.0,63500.0
60.0,35500.0
54.0,35000.0
60.0,35000.0
46.0,37500.0
94.0,73000.0
58.0,40000.0
92.0,62000.0
70.0,55000.0
42.0,37400.0
42.0,35800.0
75.0,60000.0
72.0,100000.0
85.0,52500.0
